opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value,manager,regional_office,series,sales_price,sector,year_established,revenue,employees,office_location,deal_duration_days,close_month,close_year,close_quarter,close_yearmonth,discount_rate,is_won,agent_win_rate
1C1I7A6R,Arjun Sharma,D365 Field Services,Cancity,Won,2024-10-20,2025-03-01,87482.0,Sanjay Bhatt,Central,GTX,90968,retail,2001.0,59645.0,2448.0,Vadodara,132.0,3,2025,1,2025-03,0.03832116788321168,1,0.66
Z063OYW0,Priya Patel,D365 Business Central,Isdom,Won,2024-10-25,2025-03-11,374662.0,Rajesh Agarwal,Central,GTX,400143,medical,2002.0,263794.0,4540.0,Mumbai,137.0,3,2025,1,2025-03,0.06367973449491807,1,0.63
EC4QE1BX,Priya Patel,Power BI Dashboard,Cancity,Won,2024-10-25,2025-03-07,4150.0,Rajesh Agarwal,Central,MG,4565,retail,2001.0,59645.0,2448.0,Vadodara,133.0,3,2025,1,2025-03,0.09090909090909091,1,0.63
MV1LWRNH,Arjun Sharma,D365 Sales,Codehow,Won,2024-10-25,2025-03-09,48804.0,Sanjay Bhatt,Central,GTX,45650,software,1998.0,225337.0,2641.0,Vadodara,135.0,3,2025,1,2025-03,0.0,1,0.66
PE84CX4O,Karan Malhotra,D365 Sales,Hatfan,Won,2024-10-25,2025-03-02,42911.0,Sunita Rao,West,GTX,45650,services,1982.0,65774.0,1299.0,Ahmedabad,128.0,3,2025,1,2025-03,0.06,1,0.62
ZNBS69V1,Meera Iyer,Power BI Dashboard,Ron-tech,Won,2024-10-29,2025-03-01,4067.0,Sanjay Bhatt,Central,MG,4565,medical,1992.0,325561.0,6837.0,Vadodara,123.0,3,2025,1,2025-03,0.10909090909090909,1,0.62
9ME3374G,Ritesh Jain,Power BI Dashboard,J-Texon,Won,2024-10-30,2025-03-02,4731.0,Anita Mishra,West,MG,4565,retail,1989.0,115260.0,3583.0,Vadodara,123.0,3,2025,1,2025-03,0.0,1,0.64
7GN8Q4LL,Divya Pillai,D365 Sales,Cheers,Won,2024-11-01,2025-03-07,49883.0,Anita Mishra,West,GTX,45650,entertainment,1993.0,354402.0,6472.0,Ahmedabad,126.0,3,2025,1,2025-03,0.0,1,0.57
OLK9LKZB,Deepak Yadav,D365 Field Services,Zumgoity,Won,2024-11-01,2025-03-03,85158.0,Rajesh Agarwal,Central,GTX,90968,medical,1984.0,36610.0,1210.0,Vadodara,122.0,3,2025,1,2025-03,0.06386861313868614,1,0.6
NL3JZH1Z,Meera Iyer,Power BI Dashboard,Bioholding,Won,2024-11-04,2025-03-10,4399.0,Sanjay Bhatt,Central,MG,4565,medical,2012.0,48749.0,1356.0,Vadodara,126.0,3,2025,1,2025-03,0.03636363636363636,1,0.62
KWVA7VR1,Kavita Reddy,D365 Business Central,Genco Pura Olive Oil Company,Lost,2024-11-04,2025-03-18,0.0,Rajesh Agarwal,Central,GTX,400143,retail,2007.0,74229.0,1635.0,Ahmedabad,134.0,3,2025,1,2025-03,1.0,0,0.58
S8DX3XOU,Rahul Mehta,D365 Finance & Operations,Sunnamplex,Won,2024-11-04,2025-03-10,429027.0,Sunita Rao,West,GTX,455006,marketing,2008.0,74233.0,1593.0,Ahmedabad,126.0,3,2025,1,2025-03,0.05709595038307187,1,0.66
ENB2XD8G,Sneha Joshi,D365 Finance & Operations,Sonron,Won,2024-11-04,2025-03-06,384373.0,Sunita Rao,West,GTX,455006,telecommunications,1999.0,141088.0,5108.0,Vadodara,122.0,3,2025,1,2025-03,0.15523531557825612,1,0.7
09YE9QOV,Vikram Singh,D365 Project Management,Finjob,Won,2024-11-05,2025-03-11,281619.0,Anita Mishra,West,MG,281619,employment,1988.0,170972.0,3644.0,Surat,126.0,3,2025,1,2025-03,0.0,1,0.7
3F5MZNEH,Pooja Desai,Power BI Dashboard,Sonron,Lost,2024-11-05,2025-03-03,0.0,Anita Mishra,West,MG,4565,telecommunications,1999.0,141088.0,5108.0,Vadodara,118.0,3,2025,1,2025-03,1.0,0,0.65
M6WEJXC0,Pooja Desai,D365 Project Management,Scotfind,Won,2024-11-05,2025-03-06,272572.0,Anita Mishra,West,MG,281619,software,1996.0,527454.0,16780.0,Vadodara,121.0,3,2025,1,2025-03,0.03212496315944592,1,0.65
6PTR7VBR,Amit Verma,Power BI Dashboard,Treequote,Won,2024-11-06,2025-03-05,5063.0,Sanjay Bhatt,Central,MG,4565,telecommunications,1988.0,437085.0,8595.0,Mumbai,119.0,3,2025,1,2025-03,0.0,1,0.67
902REDPA,Neha Gupta,D365 Business Central,Xx-zobam,Lost,2024-11-07,2025-03-09,0.0,Manish Tiwari,East,GTX,400143,entertainment,1989.0,318586.0,8274.0,Surat,122.0,3,2025,1,2025-03,1.0,0,0.61
5J9CMGDV,Suresh Kumar,Power BI Dashboard,Rantouch,Won,2024-11-07,2025-03-08,3818.0,Anita Mishra,West,MG,4565,telecommunications,1994.0,98639.0,3015.0,Mumbai,121.0,3,2025,1,2025-03,0.16363636363636364,1,0.63
JJXRR8R6,Rahul Mehta,D365 Finance & Operations,Fasehatice,Lost,2024-11-07,2025-03-17,0.0,Sunita Rao,West,GTX,455006,retail,1990.0,412420.0,7523.0,Ahmedabad,130.0,3,2025,1,2025-03,1.0,0,0.66
WF4HA5NW,Arjun Sharma,Power BI Dashboard,Ron-tech,Won,2024-11-07,2025-03-18,4150.0,Sanjay Bhatt,Central,MG,4565,medical,1992.0,325561.0,6837.0,Vadodara,131.0,3,2025,1,2025-03,0.09090909090909091,1,0.66
C5K2JP1H,Anjali Shah,D365 Field Services,Vehement Capital Partners,Won,2024-11-07,2025-03-11,84162.0,Chetan Pandey,East,GTX,90968,finance,1993.0,53626.0,883.0,Mumbai,124.0,3,2025,1,2025-03,0.07481751824817519,1,0.63
ADRB8OMB,Priya Patel,D365 Sales,Warephase,Won,2024-11-08,2025-03-26,46563.0,Rajesh Agarwal,Central,GTX,45650,services,1997.0,169464.0,5276.0,Ahmedabad,138.0,3,2025,1,2025-03,0.0,1,0.63
SBCR987L,Rohan Nair,D365 Sales,Zoomit,Won,2024-11-10,2025-03-23,48970.0,Sunita Rao,West,GTX,45650,entertainment,1992.0,26908.0,978.0,Mumbai,133.0,3,2025,1,2025-03,0.0,1,0.64
JSD4APT2,Amit Verma,Power BI Dashboard,Bioholding,Won,2024-11-10,2025-03-12,5063.0,Sanjay Bhatt,Central,MG,4565,medical,2012.0,48749.0,1356.0,Vadodara,122.0,3,2025,1,2025-03,0.0,1,0.67
AO9Z2D17,Anjali Shah,D365 Finance & Operations,Xx-zobam,Lost,2024-11-10,2025-03-11,0.0,Chetan Pandey,East,GTX,455006,entertainment,1989.0,318586.0,8274.0,Surat,121.0,3,2025,1,2025-03,1.0,0,0.63
5M58DTJK,Suresh Kumar,Power BI Dashboard,Cheers,Won,2024-11-11,2025-03-05,4814.0,Anita Mishra,West,MG,4565,entertainment,1993.0,354402.0,6472.0,Ahmedabad,114.0,3,2025,1,2025-03,0.0,1,0.63
KNY1OSAB,Sneha Joshi,D365 Business Central,Labdrill,Won,2024-11-11,2025-03-14,406617.0,Sunita Rao,West,GTX,400143,medical,1985.0,227534.0,9226.0,Surat,123.0,3,2025,1,2025-03,0.0,1,0.7
EAZDUUM9,Rosie Papadopoulos,D365 Project Management,Zotware,Lost,2024-11-11,2025-03-01,0.0,Chetan Pandey,East,MG,281619,software,1979.0,371713.0,13809.0,Surat,110.0,3,2025,1,2025-03,1.0,0,0.64
2STUSOFE,Amit Verma,Power BI Dashboard,dambase,Won,2024-11-11,2025-03-03,5561.0,Sanjay Bhatt,Central,MG,4565,marketing,1995.0,180440.0,2928.0,Surat,112.0,3,2025,1,2025-03,0.0,1,0.67
JYKM0B00,Rahul Mehta,D365 Business Central,Xx-holding,Won,2024-11-12,2025-03-06,360054.0,Sunita Rao,West,GTX,400143,finance,1993.0,625591.0,20293.0,Surat,114.0,3,2025,1,2025-03,0.1001866832607343,1,0.66
KU28360J,Kary Hendrixson,D365 Sales,Fasehatice,Won,2024-11-12,2025-03-19,47974.0,Sunita Rao,West,GTX,45650,retail,1990.0,412420.0,7523.0,Ahmedabad,127.0,3,2025,1,2025-03,0.0,1,0.62
N4SD17JR,Aakash Trivedi,D365 Sales,Acme Corporation,Won,2024-11-12,2025-03-01,46148.0,Manish Tiwari,East,GTX,45650,,,141088.0,3502.0,Vadodara,109.0,3,2025,1,2025-03,0.0,1,0.65
E67P9Y3Q,Pooja Desai,D365 Sales,Green-Plus,Won,2024-11-12,2025-03-03,52705.0,Anita Mishra,West,GTX,45650,services,2003.0,57452.0,1922.0,Surat,111.0,3,2025,1,2025-03,0.0,1,0.65
AT3MMVIS,Wilburn Farren,D365 Project Management,The New York Inquirer,Won,2024-11-12,2025-03-07,252735.0,Chetan Pandey,East,MG,281619,medical,1996.0,36454.0,792.0,Ahmedabad,115.0,3,2025,1,2025-03,0.10256410256410256,1,0.7
REJ11LRY,Garret Kinder,D365 Field Services,Mathtouch,Won,2024-11-13,2025-03-14,102339.0,Chetan Pandey,East,GTX,90968,marketing,1984.0,251279.0,9516.0,Ahmedabad,121.0,3,2025,1,2025-03,0.0,1,0.61
ERV0CAZ7,Amit Verma,Power BI Dashboard,Zumgoity,Won,2024-11-13,2025-03-09,4980.0,Sanjay Bhatt,Central,MG,4565,medical,1984.0,36610.0,1210.0,Vadodara,116.0,3,2025,1,2025-03,0.0,1,0.67
8SOQADK7,Meera Iyer,Power BI Dashboard,Gogozoom,Lost,2024-11-14,2025-03-30,0.0,Sanjay Bhatt,Central,MG,4565,telecommunications,2007.0,7194.0,187.0,Surat,136.0,3,2025,1,2025-03,1.0,0,0.62
TCHFT25B,Priya Patel,D365 Sales,Stanredtax,Lost,2024-11-14,2025-03-08,0.0,Rajesh Agarwal,Central,GTX,45650,finance,1987.0,140951.0,3798.0,Ahmedabad,114.0,3,2025,1,2025-03,1.0,0,0.63
CZVN09WN,Priya Patel,D365 Field Services,Konmatfix,Won,2024-11-14,2025-03-20,97110.0,Rajesh Agarwal,Central,GTX,90968,marketing,1985.0,31161.0,1190.0,Surat,126.0,3,2025,1,2025-03,0.0,1,0.63
30UQWUKB,Marty Freudenburg,D365 Field Services,Genco Pura Olive Oil Company,Won,2024-11-15,2025-03-20,96446.0,Rajesh Agarwal,Central,GTX,90968,retail,2007.0,74229.0,1635.0,Ahmedabad,125.0,3,2025,1,2025-03,0.0,1,0.63
97UN20YY,Priya Patel,D365 Project Management,Conecom,Won,2024-11-16,2025-03-14,309175.0,Rajesh Agarwal,Central,MG,281619,technology,2005.0,126215.0,1806.0,Vadodara,118.0,3,2025,1,2025-03,0.0,1,0.63
JXLERZ9O,Kary Hendrixson,D365 Sales,Golddex,Won,2024-11-16,2025-03-31,46397.0,Sunita Rao,West,GTX,45650,finance,2008.0,4358.0,165.0,Mumbai,135.0,3,2025,1,2025-03,0.0,1,0.62
6ROE69W5,Pooja Desai,D365 Sales,Plexzap,Lost,2024-11-16,2025-03-11,0.0,Anita Mishra,West,GTX,45650,retail,2001.0,202342.0,4874.0,Surat,115.0,3,2025,1,2025-03,1.0,0,0.65
0DFXFKT7,Priya Patel,D365 Field Services,Rundofase,Lost,2024-11-17,2025-03-21,0.0,Rajesh Agarwal,Central,GTX,90968,technology,1983.0,83669.0,1238.0,Mumbai,124.0,3,2025,1,2025-03,1.0,0,0.63
XKMZVSN4,Rahul Mehta,D365 Finance & Operations,Sonron,Won,2024-11-17,2025-03-05,387361.0,Sunita Rao,West,GTX,455006,telecommunications,1999.0,141088.0,5108.0,Vadodara,108.0,3,2025,1,2025-03,0.14866836920831814,1,0.66
IU8V0BZK,Marty Freudenburg,D365 Field Services,Finhigh,Won,2024-11-17,2025-03-17,74949.0,Rajesh Agarwal,Central,GTX,90968,finance,2006.0,91502.0,1759.0,Ahmedabad,120.0,3,2025,1,2025-03,0.1760948905109489,1,0.63
XY42936P,Sneha Joshi,D365 Field Services,Finjob,Won,2024-11-17,2025-03-13,97940.0,Sunita Rao,West,GTX,90968,employment,1988.0,170972.0,3644.0,Surat,116.0,3,2025,1,2025-03,0.0,1,0.7
XRN54MBM,Deepak Yadav,D365 Sales,Ron-tech,Won,2024-11-17,2025-03-05,40421.0,Rajesh Agarwal,Central,GTX,45650,medical,1992.0,325561.0,6837.0,Vadodara,108.0,3,2025,1,2025-03,0.11454545454545455,1,0.6
2V848WZD,Preeti Kulkarni,D365 Project Management,Stanredtax,Won,2024-11-18,2025-03-04,263940.0,Sanjay Bhatt,Central,MG,281619,finance,1987.0,140951.0,3798.0,Ahmedabad,106.0,3,2025,1,2025-03,0.0627763041556145,1,0.55
ONYNTUCG,Priya Patel,D365 Business Central,Funholding,Lost,2024-11-19,2025-03-17,0.0,Rajesh Agarwal,Central,GTX,400143,finance,1991.0,234018.0,7227.0,Surat,118.0,3,2025,1,2025-03,1.0,0,0.63
HIOHX80Y,Priya Patel,D365 Project Management,Gogozoom,Won,2024-11-19,2025-03-18,295729.0,Rajesh Agarwal,Central,MG,281619,telecommunications,2007.0,7194.0,187.0,Surat,119.0,3,2025,1,2025-03,0.0,1,0.63
LPKT07PV,Boris Faz,D365 Business Central,Opentech,Won,2024-11-20,2025-03-23,390432.0,Manish Tiwari,East,GTX,400143,finance,1994.0,29484.0,853.0,Vadodara,123.0,3,2025,1,2025-03,0.024268823895457373,1,0.66
WPB2SLIG,Nikhil Soni,D365 Finance & Operations,Silis,Won,2024-11-20,2025-03-14,463555.0,Manish Tiwari,East,GTX,455006,medical,1994.0,233926.0,6290.0,Mumbai,114.0,3,2025,1,2025-03,0.0,1,0.57
XUSUEAV7,Suresh Kumar,Power Apps Development,Zoomit,Won,2024-11-20,2025-03-09,2149451.0,Anita Mishra,West,GTK,2221744,entertainment,1992.0,26908.0,978.0,Mumbai,109.0,3,2025,1,2025-03,0.032538852361028096,1,0.63
3TYPII47,Rohan Nair,D365 Field Services,Goodsilron,Won,2024-11-20,2025-03-03,100181.0,Sunita Rao,West,GTX,90968,marketing,2000.0,245077.0,5107.0,Mumbai,103.0,3,2025,1,2025-03,0.0,1,0.64
7WAX8Z8O,Preeti Kulkarni,D365 Project Management,Cancity,Lost,2024-11-20,2025-03-08,0.0,Sanjay Bhatt,Central,MG,281619,retail,2001.0,59645.0,2448.0,Vadodara,108.0,3,2025,1,2025-03,1.0,0,0.55
MYDUMR3R,Preeti Kulkarni,D365 Sales,Rangreen,Won,2024-11-20,2025-03-04,46397.0,Sanjay Bhatt,Central,GTX,45650,technology,1987.0,243910.0,8775.0,Surat,104.0,3,2025,1,2025-03,0.0,1,0.55
37JFKD4I,Deepak Yadav,D365 Field Services,dambase,Won,2024-11-20,2025-03-09,85739.0,Rajesh Agarwal,Central,GTX,90968,marketing,1995.0,180440.0,2928.0,Surat,109.0,3,2025,1,2025-03,0.05748175182481752,1,0.6
25YKPHX8,Nikhil Soni,D365 Sales,Kan-code,Won,2024-11-21,2025-03-21,38346.0,Manish Tiwari,East,GTX,45650,software,1982.0,970936.0,34288.0,Vadodara,120.0,3,2025,1,2025-03,0.16,1,0.57
BXXMA7F3,Vikram Singh,D365 Project Management,Nam-zim,Lost,2024-11-21,2025-03-01,0.0,Anita Mishra,West,MG,281619,services,1987.0,33664.0,1179.0,Ahmedabad,100.0,3,2025,1,2025-03,1.0,0,0.7
GIUUTBXM,Kary Hendrixson,D365 Business Central,Y-corporation,Won,2024-11-21,2025-03-14,459737.0,Sunita Rao,West,GTX,400143,employment,1983.0,238322.0,9561.0,Vadodara,113.0,3,2025,1,2025-03,0.0,1,0.62
MFX2LR1Q,Preeti Kulkarni,D365 Project Management,Ron-tech,Won,2024-11-21,2025-03-15,296559.0,Sanjay Bhatt,Central,MG,281619,medical,1992.0,325561.0,6837.0,Vadodara,114.0,3,2025,1,2025-03,0.0,1,0.55
DUHE9FLY,Marty Freudenburg,D365 Business Central,Conecom,Won,2024-11-21,2025-03-01,408858.0,Rajesh Agarwal,Central,GTX,400143,technology,2005.0,126215.0,1806.0,Vadodara,100.0,3,2025,1,2025-03,0.0,1,0.63
96BSG7R1,Karan Malhotra,D365 Field Services,Sunnamplex,Lost,2024-11-21,2025-03-17,0.0,Sunita Rao,West,GTX,90968,marketing,2008.0,74233.0,1593.0,Ahmedabad,116.0,3,2025,1,2025-03,1.0,0,0.62
7FQMSWIX,Corliss Cosme,Power BI Dashboard,Bioplex,Won,2024-11-22,2025-03-04,5146.0,Chetan Pandey,East,MG,4565,medical,1991.0,27126.0,1016.0,Vadodara,102.0,3,2025,1,2025-03,0.0,1,0.66
C20AVXN7,Priya Patel,D365 Business Central,Gogozoom,Won,2024-11-22,2025-03-14,361797.0,Rajesh Agarwal,Central,GTX,400143,telecommunications,2007.0,7194.0,187.0,Surat,112.0,3,2025,1,2025-03,0.09583074051026758,1,0.63
GS1QVWCR,Rohan Nair,D365 Sales,Plusstrip,Won,2024-11-22,2025-03-31,46978.0,Sunita Rao,West,GTX,45650,entertainment,2002.0,29034.0,315.0,Vadodara,129.0,3,2025,1,2025-03,0.0,1,0.64
ZWH8FXY3,Marty Freudenburg,D365 Sales,Toughzap,Won,2024-11-22,2025-03-03,42164.0,Rajesh Agarwal,Central,GTX,45650,retail,1995.0,27592.0,799.0,Ahmedabad,101.0,3,2025,1,2025-03,0.07636363636363637,1,0.63
2U94Y3Q9,Rosie Papadopoulos,D365 Project Management,Vehement Capital Partners,Lost,2024-11-22,2025-03-20,0.0,Chetan Pandey,East,MG,281619,finance,1993.0,53626.0,883.0,Mumbai,118.0,3,2025,1,2025-03,1.0,0,0.64
AAR79NOO,Amit Verma,Power BI Dashboard,Codehow,Won,2024-11-22,2025-03-11,4233.0,Sanjay Bhatt,Central,MG,4565,software,1998.0,225337.0,2641.0,Vadodara,109.0,3,2025,1,2025-03,0.07272727272727272,1,0.67
B6B0PNR2,Ritesh Jain,D365 Business Central,Dalttechnology,Won,2024-11-22,2025-03-05,406617.0,Anita Mishra,West,GTX,400143,software,2013.0,8200.0,96.0,Vadodara,103.0,3,2025,1,2025-03,0.0,1,0.64
LXZA2OSZ,Corliss Cosme,D365 Finance & Operations,Ontomedia,Won,2024-11-23,2025-03-03,480570.0,Chetan Pandey,East,GTX,455006,employment,1997.0,73216.0,2769.0,Ahmedabad,100.0,3,2025,1,2025-03,0.0,1,0.66
N0ONCYVZ,Nikhil Soni,Power BI Dashboard,Kinnamplus,Lost,2024-11-23,2025-03-30,0.0,Manish Tiwari,East,MG,4565,retail,2004.0,58326.0,1831.0,Ahmedabad,127.0,3,2025,1,2025-03,1.0,0,0.57
513DPFX5,Kavita Reddy,D365 Business Central,Codehow,Won,2024-11-23,2025-03-03,368354.0,Rajesh Agarwal,Central,GTX,400143,software,1998.0,225337.0,2641.0,Vadodara,100.0,3,2025,1,2025-03,0.07944409873470235,1,0.58
RU023K5W,Kavita Reddy,D365 Project Management,Finhigh,Won,2024-11-23,2025-03-17,246676.0,Rajesh Agarwal,Central,MG,281619,finance,2006.0,91502.0,1759.0,Ahmedabad,114.0,3,2025,1,2025-03,0.12407898614795167,1,0.58
BZCBQ514,Divya Pillai,D365 Sales,Y-corporation,Won,2024-11-23,2025-03-01,43409.0,Anita Mishra,West,GTX,45650,employment,1983.0,238322.0,9561.0,Vadodara,98.0,3,2025,1,2025-03,0.04909090909090909,1,0.57
